match_id,date,note,bibs_goals,nonbibs_goals,result,total_goals,margin,attendance
M20251230,2025-12-30,,3,8,Non-Bibs,11,5,14
M20260106,2026-01-06,,8,5,Bibs,13,3,14
M20260113,2026-01-13,,6,5,Bibs,11,1,14
M20260120,2026-01-20,,3,7,Non-Bibs,10,4,14
M20260127,2026-01-27,,7,3,Bibs,10,4,14
M20260202,2026-02-02,,7,5,Bibs,12,2,14
M20260210,2026-02-10,,3,6,Non-Bibs,9,3,16
M20260324,2026-03-24,,4,6,Non-Bibs,10,2,14
M20260401,2026-04-01,,5,2,Bibs,7,3,16
M20260407,2026-04-07,,9,7,Bibs,16,2,16
M20260414,2026-04-14,,2,1,Bibs,3,1,14
M20260421,2026-04-21,,5,5,Draw,10,0,14
M20260429,2026-04-29,,4,4,Draw,8,0,16
M20260505,2026-05-05,,6,5,Bibs,11,1,16
M20260512,2026-05-12,,5,4,Bibs,9,1,14
M20260519,2026-05-19,,6,9,Non-Bibs,15,3,14
M20260609,2026-06-09,the fight,4,13,Non-Bibs,17,9,14
M20260616,2026-06-16,,9,9,Draw,18,0,14
M20260625,2026-06-25,,18,19,Non-Bibs,37,1,10
M20260630,2026-06-30,,7,3,Bibs,10,4,14
M20260707,2026-07-07,,8,7,Bibs,15,1,14
